Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),      h2oduan,      co2duan
39,860.07,1.550,-12.128,0.0182,0.3185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.415,-0.221,0.171,0.057,0.067,1.000000,0.000000
40,860.07,1.550,-12.128,0.0060,0.3185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.137,-0.073,0.057,0.019,0.022,1.000000,0.000000
41,860.07,1.550,-12.128,0.0058,0.3185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.134,-0.071,0.055,0.018,0.022,1.000000,0.000000
42,860.82,1.500,-12.119,0.1160,0.3091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.656,-1.412,1.097,0.375,0.428,1.000000,0.000000
43,860.82,1.500,-12.119,0.0383,0.3091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.877,-0.466,0.362,0.124,0.141,1.000000,0.000000
44,860.83,1.500,-12.119,0.0382,0.3091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.874,-0.465,0.361,0.123,0.141,1.000000,0.000000
45,861.59,1.450,-12.109,0.1480,0.2995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.393,-1.800,1.404,0.494,0.544,1.000000,0.000000
46,861.59,1.450,-12.109,0.0489,0.2995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.121,-0.595,0.464,0.163,0.180,1.000000,0.000000
47,861.60,1.450,-12.109,0.0488,0.2995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.118,-0.593,0.463,0.163,0.179,1.000000,0.000000
48,862.38,1.400,-12.099,0.1584,0.2897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.634,-1.924,1.506,0.547,0.578,1.000000,0.000000
49,862.38,1.400,-12.099,0.0524,0.2897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.202,-0.636,0.498,0.181,0.191,1.000000,0.000000
50,862.39,1.400,-12.099,0.0522,0.2897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.199,-0.635,0.497,0.180,0.191,1.000000,0.000000
51,863.19,1.350,-12.089,0.1616,0.2798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.712,-1.960,1.541,0.577,0.586,1.000000,0.000000
52,863.19,1.350,-12.089,0.0535,0.2798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.229,-0.649,0.510,0.191,0.194,1.000000,0.000000
53,863.19,1.350,-12.089,0.0534,0.2798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.226,-0.647,0.509,0.191,0.193,1.000000,0.000000
54,864.02,1.300,-12.078,0.1625,0.2698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.736,-1.968,1.554,0.602,0.585,1.000000,0.000000
55,864.01,1.300,-12.078,0.0539,0.2698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.238,-0.653,0.515,0.200,0.194,1.000000,0.000000
56,864.02,1.300,-12.078,0.0537,0.2698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.236,-0.651,0.514,0.199,0.193,1.000000,0.000000
57,864.87,1.250,-12.067,0.1626,0.2596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.743,-1.967,1.561,0.626,0.580,1.000000,0.000000
58,864.86,1.250,-12.067,0.0540,0.2596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.243,-0.653,0.518,0.208,0.193,1.000000,0.000000
59,864.86,1.250,-12.067,0.0539,0.2596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.240,-0.652,0.517,0.208,0.192,1.000000,0.000000
60,865.74,1.200,-12.055,0.1625,0.2493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.746,-1.963,1.565,0.652,0.575,1.000000,0.000000
61,865.71,1.200,-12.056,0.0541,0.2493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.246,-0.653,0.521,0.217,0.191,1.000000,0.000000
62,865.72,1.200,-12.056,0.0539,0.2493,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.243,-0.652,0.519,0.216,0.191,1.000000,0.000000
63,866.62,1.150,-12.044,0.1623,0.2388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.746,-1.959,1.569,0.680,0.569,1.000000,0.000000
64,866.59,1.150,-12.044,0.0541,0.2388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.249,-0.653,0.523,0.227,0.190,1.000000,0.000000
65,866.60,1.150,-12.044,0.0540,0.2388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.246,-0.652,0.522,0.226,0.189,1.000000,0.000000
66,867.52,1.100,-12.032,0.1621,0.2283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.747,-1.954,1.572,0.710,0.562,1.000000,0.000000
67,867.48,1.100,-12.032,0.0541,0.2283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.251,-0.652,0.525,0.237,0.188,1.000000,0.000000
68,867.49,1.100,-12.032,0.0541,0.2283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.249,-0.651,0.524,0.237,0.188,1.000000,0.000000
69,868.44,1.050,-12.019,0.1619,0.2176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-3.747,-1.948,1.576,0.744,0.555,1.000000,0.000000
70,868.39,1.050,-12.020,0.0542,0.2176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.254,-0.652,0.527,0.249,0.186,1.000000,0.000000
71,868.39,1.050,-12.020,0.0541,0.2176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-1.252,-0.651,0.527,0.249,0.186,1.000000,0.000000
