Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
1,865.13,2.500,-11.941,5.2541,3.3828,53.0857,0.0731,1.7879,0.6388,0.0000,19.3112,0.0000,23.8907,0.0000,0.0000,1.1853,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.023,-63.559,10.950,1.553,6.228,-0.595581,0.951376,0.593650,0.030943,-0.026903,0.044574,0.001941
2,865.14,2.500,-11.941,5.2541,3.3828,53.0857,0.0731,1.7879,0.6389,0.0000,19.3111,0.0000,23.8907,0.0000,0.0000,1.1853,0.0272,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.022,-63.558,10.950,1.553,6.228,-0.595579,0.951375,0.593647,0.030943,-0.026903,0.044574,0.001941
3,864.87,2.450,-11.951,5.2325,3.3820,53.1050,0.0730,1.7801,0.6364,0.0000,19.2619,0.0000,23.9338,0.0000,0.0000,1.1826,0.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.747,-63.337,10.904,1.547,6.203,-0.593825,0.951510,0.591983,0.030806,-0.026769,0.044369,0.001924
4,864.87,2.450,-11.951,5.2325,3.3820,53.1050,0.0731,1.7801,0.6365,0.0000,19.2619,0.0000,23.9338,0.0000,0.0000,1.1826,0.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.746,-63.337,10.904,1.547,6.203,-0.593823,0.951510,0.591981,0.030807,-0.026769,0.044370,0.001924
5,864.60,2.400,-11.961,5.2110,3.3811,53.1243,0.0730,1.7723,0.6341,0.0000,19.2126,0.0000,23.9769,0.0000,0.0000,1.1799,0.0268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.471,-63.115,10.859,1.541,6.179,-0.592069,0.951645,0.590316,0.030671,-0.026636,0.044166,0.001908
6,864.60,2.400,-11.961,5.2109,3.3811,53.1243,0.0730,1.7724,0.6341,0.0000,19.2126,0.0000,23.9769,0.0000,0.0000,1.1800,0.0268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.470,-63.115,10.859,1.541,6.179,-0.592067,0.951645,0.590314,0.030671,-0.026636,0.044166,0.001908
7,864.33,2.350,-11.971,5.1894,3.3803,53.1436,0.0730,1.7646,0.6317,0.0000,19.1633,0.0000,24.0200,0.0000,0.0000,1.1773,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.194,-62.893,10.814,1.535,6.155,-0.590314,0.951780,0.588647,0.030536,-0.026503,0.043963,0.001891
8,864.33,2.350,-11.971,5.1893,3.3803,53.1436,0.0730,1.7646,0.6317,0.0000,19.1632,0.0000,24.0201,0.0000,0.0000,1.1773,0.0266,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.193,-62.892,10.814,1.535,6.155,-0.590311,0.951779,0.588645,0.030536,-0.026504,0.043964,0.001891
9,864.06,2.300,-11.981,5.1678,3.3794,53.1629,0.0730,1.7569,0.6293,0.0000,19.1138,0.0000,24.0632,0.0000,0.0000,1.1745,0.0263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-74.917,-62.671,10.769,1.529,6.130,-0.588558,0.951914,0.586978,0.030401,-0.026372,0.043762,0.001875
10,864.06,2.300,-11.980,5.1677,3.3794,53.1629,0.0730,1.7570,0.6293,0.0000,19.1138,0.0000,24.0632,0.0000,0.0000,1.1746,0.0263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-74.916,-62.670,10.769,1.529,6.130,-0.588556,0.951914,0.586975,0.030402,-0.026372,0.043762,0.001875
