Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),      h2oduan,      co2duan
39,860.07,1.550,-12.128,0.0182,0.3185,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-0.415,-0.221,0.171,0.057,0.067,1.000000,0.000000
42,860.82,1.500,-12.119,0.1100,0.3091,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.518,-1.339,1.040,0.356,0.406,1.000000,0.000000
45,861.60,1.450,-12.109,0.1097,0.2995,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.514,-1.334,1.040,0.366,0.403,1.000000,0.000000
48,862.40,1.400,-12.099,0.1094,0.2897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.510,-1.329,1.040,0.378,0.399,1.000000,0.000000
51,863.22,1.350,-12.088,0.1091,0.2798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.507,-1.324,1.041,0.390,0.396,1.000000,0.000000
54,864.06,1.300,-12.077,0.1089,0.2698,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.504,-1.319,1.042,0.404,0.392,1.000000,0.000000
57,864.93,1.250,-12.066,0.1087,0.2596,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.502,-1.315,1.043,0.419,0.388,1.000000,0.000000
60,865.83,1.200,-12.054,0.1085,0.2492,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.500,-1.311,1.045,0.435,0.384,1.000000,0.000000
63,866.74,1.150,-12.041,0.1083,0.2388,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.499,-1.306,1.046,0.453,0.379,1.000000,0.000000
66,867.69,1.100,-12.029,0.1081,0.2282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.497,-1.302,1.048,0.473,0.375,1.000000,0.000000
69,868.66,1.050,-12.015,0.1078,0.2176,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.496,-1.297,1.050,0.496,0.370,1.000000,0.000000
72,869.65,1.000,-12.001,0.1076,0.2068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.494,-1.292,1.051,0.520,0.365,1.000000,0.000000
75,870.68,0.950,-11.987,0.1073,0.1961,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.492,-1.287,1.053,0.548,0.359,1.000000,0.000000
78,871.73,0.900,-11.972,0.1071,0.1852,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.489,-1.282,1.054,0.578,0.354,1.000000,0.000000
81,872.81,0.850,-11.957,0.1068,0.1744,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.486,-1.276,1.056,0.612,0.348,1.000000,0.000000
84,873.92,0.800,-11.941,0.1064,0.1635,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.482,-1.270,1.057,0.651,0.341,1.000000,0.000000
87,875.06,0.750,-11.925,0.1060,0.1527,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.478,-1.263,1.058,0.695,0.335,1.000000,0.000000
90,876.23,0.700,-11.908,0.1057,0.1419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,-2.474,-1.256,1.059,0.745,0.328,1.000000,0.000000
