Index,T (C),P (kbars),log(10) f O2,liq mass (gm),liq rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,liq G (kJ),liq H (kJ),liq S (J/K),liq V (cc),liq Cp (J/K),activity SiO2,activity TiO2,activity Al2O3,activity Fe2O3,activity MgCr2O4,activity Fe2SiO4,activity MnSi0.5O2,activity Mg2SiO4,activity NiSi0.5O2,activity CoSi0.5O2,activity CaSiO3,activity Na2SiO3,activity KAlSiO4,activity Ca3(PO4)2,activity CO2,activity SO3,activity Cl2O-1,activity F2O-1,activity H2O,liq vis (log 10 poise),sol mass (gm),sol rho (gm/cc),sol G (kJ),sol H (kJ),sol S (J/K),sol V (cc),sol Cp (J/K),sys G (kJ),sys H (kJ),sys S (J/K),sys V (cc),sys Cp (J/K),sys dVdT (cc/K),sys dVdP (cc/bar),sys alpha (1/K),sys beta (1/bar),liq dVdT (cc/K),liq dVdP (cc/bar),liq alpha (1/K),liq beta (1/bar)
1,865.13,2.500,-11.941,6.9537247180911e+01,2.2435,67.6603,0.4265,14.7572,0.5137,0.0000,1.1621,0.1085,0.6125,0.0000,0.0000,2.6654,3.8696,3.0144,0.2195,4.9904,0.0000,0.0000,0.0000,0.0000,-1.1479675062256e+03,-9.3553161067755e+02,1.8662839604990e+02,3.0994340463555e+01,9.6280976316883e+01,5.2285346e-01,5.4206314e-02,1.8964405e-03,3.7064600e-03,4.6381333e+00,2.5586385e-02,2.4649389e-03,8.4060737e-03,2.1410681e+00,9.4645201e-01,2.7109023e-02,3.5452676e-06,5.5953734e-03,2.9093953e-01,6.5733639e-01,4.0387676e-01,4.0387676e-01,4.0387676e-01,2.3085656e-01,5.0633,3.0462752819031e+01,2.8005,-4.7914207623746e+02,-4.0438549721807e+02,6.5674872886122e+01,1.0877658577070e+01,3.6165989379469e+01,-1.6271095824631e+03,-1.3399171078956e+03, 2.5230326893602e+02, 4.1871999040624e+01, 1.3244696569635e+02, 4.8714350717308e-03,-5.4096195683272e-04, 1.1634111538369e-04, 1.2919420357931e-05, 4.5592844261390e-03,-5.2501571624288e-04, 1.4710054667884e-04, 1.6939083342013e-05
2,865.14,2.500,-11.941,6.9537891121214e+01,2.2435,67.6602,0.4265,14.7572,0.5137,0.0000,1.1621,0.1085,0.6125,0.0000,0.0000,2.6654,3.8696,3.0143,0.2195,4.9904,0.0000,0.0000,0.0000,0.0000,-1.1479783351860e+03,-9.3553971379540e+02,1.8663022809156e+02,3.0994603668679e+01,9.6281899658978e+01,5.2285279e-01,5.4205821e-02,1.8964874e-03,3.7065116e-03,4.6381341e+00,2.5586900e-02,2.4649202e-03,8.4062307e-03,2.1410723e+00,9.4645510e-01,2.7109409e-02,3.5454370e-06,5.5954186e-03,2.9093466e-01,6.5733874e-01,4.0388000e-01,4.0388000e-01,4.0388000e-01,2.3085271e-01,5.0632,3.0462108680752e+01,2.8005,-4.7913210992069e+02,-4.0437677789719e+02,6.5673579386279e+01,1.0877423700992e+01,3.6165233990920e+01,-1.6271104451067e+03,-1.3399164916926e+03, 2.5230380747784e+02, 4.1872027369671e+01, 1.3244713364990e+02, 4.8714491413034e-03,-5.4096431078541e-04, 1.1634137268528e-04, 1.2919467834921e-05, 4.5593052286423e-03,-5.2501844644580e-04, 1.4709996867131e-04, 1.6939027582287e-05
3,864.87,2.450,-11.951,6.9574931417565e+01,2.2418,67.6650,0.4249,14.7564,0.5133,0.0000,1.1602,0.1085,0.6157,0.0000,0.0000,2.6637,3.8719,3.0134,0.2194,4.9877,0.0000,0.0000,0.0000,0.0000,-1.1487089201821e+03,-9.3621967136198e+02,1.8671915001808e+02,3.1035367035611e+01,9.6341187093316e+01,5.2290297e-01,5.4044302e-02,1.8953036e-03,3.7044767e-03,4.6469749e+00,2.5558885e-02,2.4658596e-03,8.4537047e-03,2.1435636e+00,9.4737816e-01,2.7100646e-02,3.5420177e-06,5.5929023e-03,2.9134626e-01,6.5761739e-01,4.0413415e-01,4.0413415e-01,4.0413415e-01,2.3081697e-01,5.0668,3.0425540067233e+01,2.8005,-4.7855018645094e+02,-4.0391379505856e+02,6.5584699642864e+01,1.0864270239216e+01,3.6118683886886e+01,-1.6272591066330e+03,-1.3401334664205e+03, 2.5230384966095e+02, 4.1899637274827e+01, 1.3245987098020e+02, 4.8850021317692e-03,-5.4402420701373e-04, 1.1658817234449e-04, 1.2983983690488e-05, 4.5733979858856e-03,-5.2809848928965e-04, 1.4736084740477e-04, 1.7016022033305e-05
4,864.87,2.450,-11.951,6.9575592628162e+01,2.2418,67.6649,0.4249,14.7565,0.5134,0.0000,1.1602,0.1085,0.6157,0.0000,0.0000,2.6637,3.8720,3.0133,0.2194,4.9877,0.0000,0.0000,0.0000,0.0000,-1.1487200410709e+03,-9.3622799368416e+02,1.8672103119893e+02,3.1035637424379e+01,9.6342135288391e+01,5.2290228e-01,5.4043800e-02,1.8953518e-03,3.7045296e-03,4.6469755e+00,2.5559413e-02,2.4658404e-03,8.4538666e-03,2.1435679e+00,9.4738132e-01,2.7101043e-02,3.5421914e-06,5.5929488e-03,2.9134125e-01,6.5761980e-01,4.0413747e-01,4.0413747e-01,4.0413747e-01,2.3081302e-01,5.0668,3.0424878653814e+01,2.8005,-4.7853995107502e+02,-4.0390484014948e+02,6.5583371458137e+01,1.0864029052102e+01,3.6117908221159e+01,-1.6272599921459e+03,-1.3401328338336e+03, 2.5230440265706e+02, 4.1899666476481e+01, 1.3246004350955e+02, 4.8850165722155e-03,-5.4402663294292e-04, 1.1658843573272e-04, 1.2984032539932e-05, 4.5734193385009e-03,-5.2810130155611e-04, 1.4736025157029e-04, 1.7015964400373e-05
5,864.60,2.400,-11.961,6.9612951437694e+01,2.2400,67.6697,0.4232,14.7557,0.5130,0.0000,1.1582,0.1084,0.6189,0.0000,0.0000,2.6620,3.8743,3.0123,0.2193,4.9850,0.0000,0.0000,0.0000,0.0000,-1.1494559642344e+03,-9.3691269984153e+02,1.8681067898664e+02,3.1076680057650e+01,9.6401888395350e+01,5.2295214e-01,5.3882327e-02,1.8941743e-03,3.7024754e-03,4.6558767e+00,2.5531236e-02,2.4667793e-03,8.5016097e-03,2.1460760e+00,9.4831026e-01,2.7092432e-02,3.5387837e-06,5.5904282e-03,2.9175514e-01,6.5790119e-01,4.0439387e-01,4.0439387e-01,4.0439387e-01,2.3077654e-01,5.0703,3.0387991108011e+01,2.8005,-4.7795256863978e+02,-4.0343724144175e+02,6.5493766215270e+01,1.0850751656863e+01,3.6070964834460e+01,-1.6274085328742e+03,-1.3403499412833e+03, 2.5230444520191e+02, 4.1927431714513e+01, 1.3247285322981e+02, 4.8986768079968e-03,-5.4709744759049e-04, 1.1683703503120e-04, 1.3048675418893e-05, 4.5876227609784e-03,-5.3119247244028e-04, 1.4762267888551e-04, 1.7092960749181e-05
6,864.60,2.400,-11.961,6.9613630265513e+01,2.2400,67.6695,0.4232,14.7558,0.5130,0.0000,1.1582,0.1084,0.6189,0.0000,0.0000,2.6620,3.8743,3.0123,0.2193,4.9849,0.0000,0.0000,0.0000,0.0000,-1.1494673829693e+03,-9.3692124583757e+02,1.8681261029389e+02,3.1076957778835e+01,9.6402861946431e+01,5.2295144e-01,5.3881816e-02,1.8942237e-03,3.7025297e-03,4.6558773e+00,2.5531777e-02,2.4667596e-03,8.5017767e-03,2.1460804e+00,9.4831349e-01,2.7092840e-02,3.5389617e-06,5.5904759e-03,2.9174998e-01,6.5790366e-01,4.0439728e-01,4.0439728e-01,4.0439728e-01,2.3077249e-01,5.0703,3.0387312072443e+01,2.8005,-4.7794205873647e+02,-4.0342804615148e+02,6.5492402648785e+01,1.0850504031621e+01,3.6070168483462e+01,-1.6274094417058e+03,-1.3403492919890e+03, 2.5230501294268e+02, 4.1927461810455e+01, 1.3247303042989e+02, 4.8986916265375e-03,-5.4709994722659e-04, 1.1683730459724e-04, 1.3048725670538e-05, 4.5876446744744e-03,-5.3119536870225e-04, 1.4762206478263e-04, 1.7092901193309e-05
7,864.33,2.350,-11.971,6.9651307738795e+01,2.2383,67.6743,0.4216,14.7550,0.5127,0.0000,1.1563,0.1084,0.6221,0.0000,0.0000,2.6603,3.8767,3.0113,0.2192,4.9822,0.0000,0.0000,0.0000,0.0000,-1.1502086483943e+03,-9.3761070617562e+02,1.8690298400657e+02,3.1118280299540e+01,9.6463081000418e+01,5.2300098e-01,5.3720390e-02,1.8930526e-03,3.7004563e-03,4.6648391e+00,2.5503437e-02,2.4676979e-03,8.5497906e-03,2.1486054e+00,9.4924832e-01,2.7084381e-02,3.5355651e-06,5.5879509e-03,2.9216618e-01,6.5818777e-01,4.0465591e-01,4.0465591e-01,4.0465591e-01,2.3073528e-01,5.0739,3.0350105449051e+01,2.8006,-4.7734921315359e+02,-4.0295582684854e+02,6.5402071843487e+01,1.0837102647767e+01,3.6022831632208e+01,-1.6275578615479e+03,-1.3405665330242e+03, 2.5230505585006e+02, 4.1955382947306e+01, 1.3248591263263e+02, 4.9124590647448e-03,-5.5018167555714e-04, 1.1708769458533e-04, 1.3113494310090e-05, 4.6019587179158e-03,-5.3429766292530e-04, 1.4788602305841e-04, 1.7169896851055e-05
8,864.33,2.350,-11.971,6.9652004531419e+01,2.2383,67.6742,0.4216,14.7551,0.5127,0.0000,1.1563,0.1084,0.6221,0.0000,0.0000,2.6603,3.8767,3.0113,0.2192,4.9822,0.0000,0.0000,0.0000,0.0000,-1.1502203709046e+03,-9.3761948032456e+02,1.8690496642929e+02,3.1118565502354e+01,9.6464080411688e+01,5.2300026e-01,5.3719871e-02,1.8931033e-03,3.7005120e-03,4.6648396e+00,2.5503991e-02,2.4676776e-03,8.5499628e-03,2.1486099e+00,9.4925162e-01,2.7084800e-02,3.5357475e-06,5.5879998e-03,2.9216087e-01,6.5819030e-01,4.0465941e-01,4.0465941e-01,4.0465941e-01,2.3073112e-01,5.0739,3.0349408443666e+01,2.8006,-4.7733842324335e+02,-4.0294638637417e+02,6.5400672197109e+01,1.0836848457090e+01,3.6022014187100e+01,-1.6275587941480e+03,-1.3405658666987e+03, 2.5230563862640e+02, 4.1955413959444e+01, 1.3248609459879e+02, 4.9124742686098e-03,-5.5018425064554e-04, 1.1708797041923e-04, 1.3113545993787e-05, 4.6019812030735e-03,-5.3430064512991e-04, 1.4788539024157e-04, 1.7169835321924e-05
9,864.06,2.300,-11.981,6.9690000822707e+01,2.2365,67.6789,0.4200,14.7543,0.5123,0.0000,1.1543,0.1083,0.6254,0.0000,0.0000,2.6586,3.8791,3.0103,0.2190,4.9795,0.0000,0.0000,0.0000,0.0000,-1.1509669827435e+03,-9.3831370049065e+02,1.8699606613484e+02,3.1160168532243e+01,9.6524765693226e+01,5.2304948e-01,5.3558496e-02,1.8919384e-03,3.6984192e-03,4.6738623e+00,2.5475489e-02,2.4686154e-03,8.5982492e-03,2.1511517e+00,9.5019233e-01,2.7076493e-02,3.5323617e-06,5.5854704e-03,2.9257939e-01,6.5847715e-01,4.0492029e-01,4.0492029e-01,4.0492029e-01,2.3069318e-01,5.0775,3.0311882593666e+01,2.8006,-4.7674011027744e+02,-4.0246954169479e+02,6.5309615762422e+01,1.0823323028407e+01,3.5974283685215e+01,-1.6277070930210e+03,-1.3407832421854e+03, 2.5230568189726e+02, 4.1983491560649e+01, 1.3249904937844e+02, 4.9263488663191e-03,-5.5327688790217e-04, 1.1734014211759e-04, 1.3178439127744e-05, 4.6164058231833e-03,-5.3741405796958e-04, 1.4815086184166e-04, 1.7246827706131e-05
10,864.06,2.300,-11.980,6.9690715928464e+01,2.2365,67.6788,0.4200,14.7544,0.5123,0.0000,1.1543,0.1083,0.6254,0.0000,0.0000,2.6586,3.8791,3.0102,0.2190,4.9794,0.0000,0.0000,0.0000,0.0000,-1.1509790149767e+03,-9.3832270728711e+02,1.8699810066428e+02,3.1160461366499e+01,9.6525791470143e+01,5.2304874e-01,5.3557967e-02,1.8919903e-03,3.6984763e-03,4.6738626e+00,2.5476057e-02,2.4685945e-03,8.5984266e-03,2.1511563e+00,9.5019570e-01,2.7076923e-02,3.5325487e-06,5.5855204e-03,2.9257393e-01,6.5847974e-01,4.0492388e-01,4.0492388e-01,4.0492388e-01,2.3068892e-01,5.0775,3.0311167270064e+01,2.8006,-4.7672903486327e+02,-4.0245985121765e+02,6.5308179336434e+01,1.0823062144656e+01,3.5973444736156e+01,-1.6277080498400e+03,-1.3407825585048e+03, 2.5230628000071e+02, 4.1983523511155e+01, 1.3249923620630e+02, 4.9263644627345e-03,-5.5327954020514e-04, 1.1734042430778e-04, 1.3178492273478e-05, 4.6164288907863e-03,-5.3741712808136e-04, 1.4815020986016e-04, 1.7246764152830e-05
