Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
1,865.13,2.500,-11.941,1.4671,4.8316,0.0000,9.3423,2.9029,48.9921,0.0000,36.0458,0.0000,2.7169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.682,-7.528,2.770,0.304,1.325,0.000000,-0.086111,0.678458,0.149072,0.258581
2,865.14,2.500,-11.941,1.4671,4.8316,0.0000,9.3423,2.9029,48.9922,0.0000,36.0457,0.0000,2.7169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.682,-7.528,2.770,0.304,1.325,0.000000,-0.086111,0.678459,0.149073,0.258578
3,864.87,2.450,-11.951,1.4772,4.8312,0.0000,9.3454,2.8992,48.9964,0.0000,36.0309,0.0000,2.7280,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.758,-7.584,2.789,0.306,1.334,0.000000,-0.086797,0.678473,0.149675,0.258650
4,864.87,2.450,-11.951,1.4772,4.8312,0.0000,9.3454,2.8992,48.9966,0.0000,36.0308,0.0000,2.7281,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.758,-7.584,2.789,0.306,1.334,0.000000,-0.086798,0.678474,0.149676,0.258647
5,864.60,2.400,-11.961,1.4873,4.8308,0.0000,9.3485,2.8955,49.0009,0.0000,36.0158,0.0000,2.7393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.834,-7.639,2.808,0.308,1.344,0.000000,-0.087487,0.678489,0.150280,0.258717
6,864.60,2.400,-11.961,1.4873,4.8308,0.0000,9.3484,2.8956,49.0010,0.0000,36.0157,0.0000,2.7393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.834,-7.639,2.808,0.308,1.344,0.000000,-0.087487,0.678491,0.150282,0.258715
7,864.33,2.350,-11.971,1.4974,4.8303,0.0000,9.3515,2.8919,49.0054,0.0000,36.0006,0.0000,2.7505,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.910,-7.694,2.827,0.310,1.353,0.000000,-0.088179,0.678507,0.150890,0.258783
8,864.33,2.350,-11.971,1.4974,4.8303,0.0000,9.3514,2.8919,49.0056,0.0000,36.0005,0.0000,2.7506,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.910,-7.694,2.827,0.310,1.353,0.000000,-0.088180,0.678508,0.150891,0.258781
9,864.06,2.300,-11.981,1.5074,4.8299,0.0000,9.3545,2.8883,49.0101,0.0000,35.9852,0.0000,2.7619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.986,-7.749,2.846,0.312,1.362,0.000000,-0.088875,0.678525,0.151503,0.258848
10,864.06,2.300,-11.980,1.5074,4.8299,0.0000,9.3544,2.8883,49.0102,0.0000,35.9851,0.0000,2.7619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.985,-7.749,2.846,0.312,1.362,0.000000,-0.088876,0.678526,0.151504,0.258845
